name,type,type_id,n_dims,dims,offset,bytes
blk.14.attn_gate.weight,PQ2_0,142,2,5120x6144,2103578240,
blk.14.attn_norm.weight,F32,0,1,5120,2111934080,20480
blk.14.attn_qkv.weight,PQ2_0,142,2,5120x10240,2111954560,
blk.14.ffn_down.weight,PQ2_0,142,2,17408x5120,2125880960,
blk.14.ffn_gate.weight,PQ2_0,142,2,5120x17408,2149555840,
blk.14.ffn_up.weight,PQ2_0,142,2,5120x17408,2173230720,
blk.14.post_attention_norm.weight,F32,0,1,5120,2196905600,20480
blk.14.ssm_a,F32,0,1,48,2196926080,192
blk.14.ssm_alpha.weight,BF16,30,2,5120x48,2196926272,491520
blk.14.ssm_beta.weight,BF16,30,2,5120x48,2197417792,491520
blk.14.ssm_conv1d.weight,F32,0,2,4x10240,2197909312,163840
blk.14.ssm_dt.bias,F32,0,1,48,2198073152,192
blk.14.ssm_norm.weight,F32,0,1,128,2198073344,512
blk.14.ssm_out.weight,PQ2_0,142,2,6144x5120,2198073856,
blk.15.attn_k.weight,PQ2_0,142,2,5120x1024,2206429696,
blk.15.attn_k_norm.weight,F32,0,1,256,2207822336,1024
blk.15.attn_norm.weight,F32,0,1,5120,2207823360,20480
blk.15.attn_output.weight,PQ2_0,142,2,6144x5120,2207843840,
blk.15.attn_q.weight,PQ2_0,142,2,5120x12288,2216199680,
blk.15.attn_q_norm.weight,F32,0,1,256,2232911360,1024
blk.15.attn_v.weight,PQ2_0,142,2,5120x1024,2232912384,
blk.15.ffn_down.weight,PQ2_0,142,2,17408x5120,2234305024,
blk.15.ffn_gate.weight,PQ2_0,142,2,5120x17408,2257979904,
blk.15.ffn_up.weight,PQ2_0,142,2,5120x17408,2281654784,
blk.15.post_attention_norm.weight,F32,0,1,5120,2305329664,20480
blk.16.attn_gate.weight,PQ2_0,142,2,5120x6144,2305350144,
blk.16.attn_norm.weight,F32,0,1,5120,2313705984,20480
blk.16.attn_qkv.weight,PQ2_0,142,2,5120x10240,2313726464,
blk.16.ffn_down.weight,PQ2_0,142,2,17408x5120,2327652864,
blk.16.ffn_gate.weight,PQ2_0,142,2,5120x17408,2351327744,
blk.16.ffn_up.weight,PQ2_0,142,2,5120x17408,2375002624,
blk.16.post_attention_norm.weight,F32,0,1,5120,2398677504,20480
blk.16.ssm_a,F32,0,1,48,2398697984,192
blk.16.ssm_alpha.weight,BF16,30,2,5120x48,2398698176,491520
blk.16.ssm_beta.weight,BF16,30,2,5120x48,2399189696,491520
blk.16.ssm_conv1d.weight,F32,0,2,4x10240,2399681216,163840
blk.16.ssm_dt.bias,F32,0,1,48,2399845056,192
blk.16.ssm_norm.weight,F32,0,1,128,2399845248,512
blk.16.ssm_out.weight,PQ2_0,142,2,6144x5120,2399845760,
blk.17.attn_gate.weight,PQ2_0,142,2,5120x6144,2408201600,
blk.17.attn_norm.weight,F32,0,1,5120,2416557440,20480
blk.17.attn_qkv.weight,PQ2_0,142,2,5120x10240,2416577920,
blk.17.ffn_down.weight,PQ2_0,142,2,17408x5120,2430504320,
blk.17.ffn_gate.weight,PQ2_0,142,2,5120x17408,2454179200,
blk.17.ffn_up.weight,PQ2_0,142,2,5120x17408,2477854080,
blk.17.post_attention_norm.weight,F32,0,1,5120,2501528960,20480
blk.17.ssm_a,F32,0,1,48,2501549440,192
blk.17.ssm_alpha.weight,BF16,30,2,5120x48,2501549632,491520
blk.17.ssm_beta.weight,BF16,30,2,5120x48,2502041152,491520
