name                                  type        shape                             offset
blk.34.ffn_down.weight                PQ2_0       17408x5120                    4163255040
blk.34.ffn_gate.weight                PQ2_0       5120x17408                    4186929920
blk.34.ffn_up.weight                  PQ2_0       5120x17408                    4210604800
blk.34.post_attention_norm.weight     F32         5120                          4234279680
blk.34.ssm_a                          F32         48                            4234300160
blk.34.ssm_alpha.weight               BF16        5120x48                       4234300352
blk.34.ssm_beta.weight                BF16        5120x48                       4234791872
blk.34.ssm_conv1d.weight              F32         4x10240                       4235283392
blk.34.ssm_dt.bias                    F32         48                            4235447232
blk.34.ssm_norm.weight                F32         128                           4235447424
blk.34.ssm_out.weight                 PQ2_0       6144x5120                     4235447936
blk.35.attn_k.weight                  PQ2_0       5120x1024                     4243803776
blk.35.attn_k_norm.weight             F32         256                           4245196416
blk.35.attn_norm.weight               F32         5120                          4245197440
blk.35.attn_output.weight             PQ2_0       6144x5120                     4245217920
blk.35.attn_q.weight                  PQ2_0       5120x12288                    4253573760
blk.35.attn_q_norm.weight             F32         256                           4270285440
blk.35.attn_v.weight                  PQ2_0       5120x1024                     4270286464
blk.35.ffn_down.weight                PQ2_0       17408x5120                    4271679104
blk.35.ffn_gate.weight                PQ2_0       5120x17408                    4295353984
blk.35.ffn_up.weight                  PQ2_0       5120x17408                    4319028864
blk.35.post_attention_norm.weight     F32         5120                          4342703744
blk.36.attn_gate.weight               PQ2_0       5120x6144                     4342724224
blk.36.attn_norm.weight               F32         5120                          4351080064
blk.36.attn_qkv.weight                PQ2_0       5120x10240                    4351100544
blk.36.ffn_down.weight                PQ2_0       17408x5120                    4365026944
blk.36.ffn_gate.weight                PQ2_0       5120x17408                    4388701824
blk.36.ffn_up.weight                  PQ2_0       5120x17408                    4412376704
blk.36.post_attention_norm.weight     F32         5120                          4436051584
blk.36.ssm_a                          F32         48                            4436072064
blk.36.ssm_alpha.weight               BF16        5120x48                       4436072256
blk.36.ssm_beta.weight                BF16        5120x48                       4436563776
blk.36.ssm_conv1d.weight              F32         4x10240                       4437055296
blk.36.ssm_dt.bias                    F32         48                            4437219136
blk.36.ssm_norm.weight                F32         128                           4437219328
blk.36.ssm_out.weight                 PQ2_0       6144x5120                     4437219840
blk.37.attn_gate.weight               PQ2_0       5120x6144                     4445575680
blk.37.attn_norm.weight               F32         5120                          4453931520
blk.37.attn_qkv.weight                PQ2_0       5120x10240                    4453952000
blk.37.ffn_down.weight                PQ2_0       17408x5120                    4467878400
blk.37.ffn_gate.weight                PQ2_0       5120x17408                    4491553280
blk.37.ffn_up.weight                  PQ2_0       5120x17408                    4515228160
blk.37.post_attention_norm.weight     F32         5120                          4538903040
blk.37.ssm_a                          F32         48                            4538923520
blk.37.ssm_alpha.weight               BF16        5120x48                       4538923712
blk.37.ssm_beta.weight                BF16        5120x48                       4539415232
blk.37.ssm_conv1d.weight              F32         4x10240                       4539906752
blk.37.ssm_dt.bias                    F32         48                            4540070592
blk.37.ssm_norm.weight                F32         128                           4540070784
blk.37.ssm_out.weight                 PQ2_0       6144x5120                     4540071296
blk.38.attn_gate.weight               PQ2_0       5120x6144                     4548427136
blk.38.attn_norm.weight               F32         5120                          4556782976
blk.38.attn_qkv.weight                PQ2_0       5120x10240                    4556803456
blk.38.ffn_down.weight                PQ2_0       17408x5120                    4570729856
blk.38.ffn_gate.weight                PQ2_0       5120x17408                    4594404736
blk.38.ffn_up.weight                  PQ2_0       5120x17408                    4618079616
blk.38.post_attention_norm.weight     F32         5120                          4641754496
blk.38.ssm_a                          F32         48                            4641774976
blk.38.ssm_alpha.weight               BF16        5120x48                       4641775168
blk.38.ssm_beta.weight                BF16        5120x48                       4642266688
blk.38.ssm_conv1d.weight              F32         4x10240                       4642758208
blk.38.ssm_dt.bias                    F32         48                            4642922048
blk.38.ssm_norm.weight                F32         128                           4642922240
blk.38.ssm_out.weight                 PQ2_0       6144x5120                     4642922752
blk.39.attn_k.weight                  PQ2_0       5120x1024                     4651278592
blk.39.attn_k_norm.weight             F32         256                           4652671232
blk.39.attn_norm.weight               F32         5120                          4652672256
blk.39.attn_output.weight             PQ2_0       6144x5120                     4652692736
blk.39.attn_q.weight                  PQ2_0       5120x12288                    4661048576
blk.39.attn_q_norm.weight             F32         256                           4677760256
blk.39.attn_v.weight                  PQ2_0       5120x1024                     4677761280
blk.39.ffn_down.weight                PQ2_0       17408x5120                    4679153920
blk.39.ffn_gate.weight                PQ2_0       5120x17408                    4702828800
blk.39.ffn_up.weight                  PQ2_0       5120x17408                    4726503680
blk.39.post_attention_norm.weight     F32         5120                          4750178560
blk.40.attn_gate.weight               PQ2_0       5120x6144                     4750199040
blk.40.attn_norm.weight               F32         5120                          4758554880
blk.40.attn_qkv.weight                PQ2_0       5120x10240                    4758575360
blk.40.ffn_down.weight                PQ2_0       17408x5120                    4772501760
blk.40.ffn_gate.weight                PQ2_0       5120x17408                    4796176640
blk.40.ffn_up.weight                  PQ2_0       5120x17408                    4819851520
blk.40.post_attention_norm.weight     F32         5120                          4843526400
blk.40.ssm_a                          F32         48                            4843546880
blk.40.ssm_alpha.weight               BF16        5120x48                       4843547072
blk.40.ssm_beta.weight                BF16        5120x48                       4844038592
blk.40.ssm_conv1d.weight              F32         4x10240                       4844530112
blk.40.ssm_dt.bias                    F32         48                            4844693952
blk.40.ssm_norm.weight                F32         128                           4844694144
blk.40.ssm_out.weight                 PQ2_0       6144x5120                     4844694656
blk.41.attn_gate.weight               PQ2_0       5120x6144                     4853050496
blk.41.attn_norm.weight               F32         5120                          4861406336
blk.41.attn_qkv.weight                PQ2_0       5120x10240                    4861426816
blk.41.ffn_down.weight                PQ2_0       17408x5120                    4875353216
blk.41.ffn_gate.weight                PQ2_0       5120x17408                    4899028096
blk.41.ffn_up.weight                  PQ2_0       5120x17408                    4922702976
blk.41.post_attention_norm.weight     F32         5120                          4946377856
blk.41.ssm_a                          F32         48                            4946398336
blk.41.ssm_alpha.weight               BF16        5120x48                       4946398528
blk.41.ssm_beta.weight                BF16        5120x48                       4946890048
blk.41.ssm_conv1d.weight              F32         4x10240                       4947381568
blk.41.ssm_dt.bias                    F32         48                            4947545408
blk.41.ssm_norm.weight                F32         128                           4947545600
blk.41.ssm_out.weight                 PQ2_0       6144x5120                     4947546112
blk.42.attn_gate.weight               PQ2_0       5120x6144                     4955901952
blk.42.attn_norm.weight               F32         5120                          4964257792
blk.42.attn_qkv.weight                PQ2_0       5120x10240                    4964278272
blk.42.ffn_down.weight                PQ2_0       17408x5120                    4978204672
blk.42.ffn_gate.weight                PQ2_0       5120x17408                    5001879552
blk.42.ffn_up.weight                  PQ2_0       5120x17408                    5025554432
blk.42.post_attention_norm.weight     F32         5120                          5049229312
blk.42.ssm_a                          F32         48                            5049249792
blk.42.ssm_alpha.weight               BF16        5120x48                       5049249984
blk.42.ssm_beta.weight                BF16        5120x48                       5049741504
blk.42.ssm_conv1d.weight              F32         4x10240                       5050233024
blk.42.ssm_dt.bias                    F32         48                            5050396864
blk.42.ssm_norm.weight                F32         128                           5050397056
blk.42.ssm_out.weight                 PQ2_0       6144x5120                     5050397568
blk.43.attn_k.weight                  PQ2_0       5120x1024                     5058753408
blk.43.attn_k_norm.weight             F32         256                           5060146048
blk.43.attn_norm.weight               F32         5120                          5060147072
blk.43.attn_output.weight             PQ2_0       6144x5120                     5060167552
blk.43.attn_q.weight                  PQ2_0       5120x12288                    5068523392
blk.43.attn_q_norm.weight             F32         256                           5085235072
blk.43.attn_v.weight                  PQ2_0       5120x1024                     5085236096
blk.43.ffn_down.weight                PQ2_0       17408x5120                    5086628736
blk.43.ffn_gate.weight                PQ2_0       5120x17408                    5110303616
blk.43.ffn_up.weight                  PQ2_0       5120x17408                    5133978496
blk.43.post_attention_norm.weight     F32         5120                          5157653376
blk.44.attn_gate.weight               PQ2_0       5120x6144                     5157673856
blk.44.attn_norm.weight               F32         5120                          5166029696
blk.44.attn_qkv.weight                PQ2_0       5120x10240                    5166050176
blk.44.ffn_down.weight                PQ2_0       17408x5120                    5179976576
blk.44.ffn_gate.weight                PQ2_0       5120x17408                    5203651456
blk.44.ffn_up.weight                  PQ2_0       5120x17408                    5227326336
blk.44.post_attention_norm.weight     F32         5120                          5251001216
blk.44.ssm_a                          F32         48                            5251021696
blk.44.ssm_alpha.weight               BF16        5120x48                       5251021888
blk.44.ssm_beta.weight                BF16        5120x48                       5251513408
blk.44.ssm_conv1d.weight              F32         4x10240                       5252004928
blk.44.ssm_dt.bias                    F32         48                            5252168768
blk.44.ssm_norm.weight                F32         128                           5252168960
blk.44.ssm_out.weight                 PQ2_0       6144x5120                     5252169472
blk.45.attn_gate.weight               PQ2_0       5120x6144                     5260525312
blk.45.attn_norm.weight               F32         5120                          5268881152
blk.45.attn_qkv.weight                PQ2_0       5120x10240                    5268901632
blk.45.ffn_down.weight                PQ2_0       17408x5120                    5282828032
blk.45.ffn_gate.weight                PQ2_0       5120x17408                    5306502912
blk.45.ffn_up.weight                  PQ2_0       5120x17408                    5330177792
blk.45.post_attention_norm.weight     F32         5120                          5353852672
blk.45.ssm_a                          F32         48                            5353873152
blk.45.ssm_alpha.weight               BF16        5120x48                       5353873344
blk.45.ssm_beta.weight                BF16        5120x48                       5354364864
blk.45.ssm_conv1d.weight              F32         4x10240                       5354856384
blk.45.ssm_dt.bias                    F32         48                            5355020224
blk.45.ssm_norm.weight                F32         128                           5355020416
blk.45.ssm_out.weight                 PQ2_0       6144x5120                     5355020928
blk.46.attn_gate.weight               PQ2_0       5120x6144                     5363376768
blk.46.attn_norm.weight               F32         5120                          5371732608
blk.46.attn_qkv.weight                PQ2_0       5120x10240                    5371753088
blk.46.ffn_down.weight                PQ2_0       17408x5120                    5385679488
blk.46.ffn_gate.weight                PQ2_0       5120x17408                    5409354368
blk.46.ffn_up.weight                  PQ2_0       5120x17408                    5433029248
blk.46.post_attention_norm.weight     F32         5120                          5456704128
blk.46.ssm_a                          F32         48                            5456724608
blk.46.ssm_alpha.weight               BF16        5120x48                       5456724800
blk.46.ssm_beta.weight                BF16        5120x48                       5457216320
blk.46.ssm_conv1d.weight              F32         4x10240                       5457707840
blk.46.ssm_dt.bias                    F32         48                            5457871680
blk.46.ssm_norm.weight                F32         128                           5457871872
blk.46.ssm_out.weight                 PQ2_0       6144x5120                     5457872384
blk.47.attn_k.weight                  PQ2_0       5120x1024                     5466228224
blk.47.attn_k_norm.weight             F32         256                           5467620864
blk.47.attn_norm.weight               F32         5120                          5467621888
blk.47.attn_output.weight             PQ2_0       6144x5120                     5467642368
blk.47.attn_q.weight                  PQ2_0       5120x12288                    5475998208
blk.47.attn_q_norm.weight             F32         256                           5492709888
blk.47.attn_v.weight                  PQ2_0       5120x1024                     5492710912
blk.47.ffn_down.weight                PQ2_0       17408x5120                    5494103552
blk.47.ffn_gate.weight                PQ2_0       5120x17408                    5517778432
blk.47.ffn_up.weight                  PQ2_0       5120x17408                    5541453312
blk.47.post_attention_norm.weight     F32         5120                          5565128192
blk.48.attn_gate.weight               PQ2_0       5120x6144                     5565148672
blk.48.attn_norm.weight               F32         5120                          5573504512
blk.48.attn_qkv.weight                PQ2_0       5120x10240                    5573524992
blk.48.ffn_down.weight                PQ2_0       17408x5120                    5587451392
blk.48.ffn_gate.weight                PQ2_0       5120x17408                    5611126272
blk.48.ffn_up.weight                  PQ2_0       5120x17408                    5634801152
blk.48.post_attention_norm.weight     F32         5120                          5658476032
blk.48.ssm_a                          F32         48                            5658496512
blk.48.ssm_alpha.weight               BF16        5120x48                       5658496704
blk.48.ssm_beta.weight                BF16        5120x48                       5658988224
blk.48.ssm_conv1d.weight              F32         4x10240                       5659479744
blk.48.ssm_dt.bias                    F32         48                            5659643584
blk.48.ssm_norm.weight                F32         128                           5659643776
blk.48.ssm_out.weight                 PQ2_0       6144x5120                     5659644288
blk.49.attn_gate.weight               PQ2_0       5120x6144                     5668000128
blk.49.attn_norm.weight               F32         5120                          5676355968
blk.49.attn_qkv.weight                PQ2_0       5120x10240                    5676376448
blk.49.ffn_down.weight                PQ2_0       17408x5120                    5690302848
blk.49.ffn_gate.weight                PQ2_0       5120x17408                    5713977728
blk.49.ffn_up.weight                  PQ2_0       5120x17408                    5737652608
blk.49.post_attention_norm.weight     F32         5120                          5761327488
blk.49.ssm_a                          F32         48                            5761347968
blk.49.ssm_alpha.weight               BF16        5120x48                       5761348160
blk.49.ssm_beta.weight                BF16        5120x48                       5761839680
blk.49.ssm_conv1d.weight              F32         4x10240                       5762331200
blk.49.ssm_dt.bias                    F32         48                            5762495040
blk.49.ssm_norm.weight                F32         128                           5762495232
blk.49.ssm_out.weight                 PQ2_0       6144x5120                     5762495744
blk.50.attn_gate.weight               PQ2_0       5120x6144                     5770851584
blk.50.attn_norm.weight               F32         5120                          5779207424
blk.50.attn_qkv.weight                PQ2_0       5120x10240                    5779227904
blk.50.ffn_down.weight                PQ2_0       17408x5120                    5793154304
blk.50.ffn_gate.weight                PQ2_0       5120x17408                    5816829184
blk.50.ffn_up.weight                  PQ2_0       5120x17408                    5840504064
blk.50.post_attention_norm.weight     F32         5120                          5864178944
blk.50.ssm_a                          F32         48                            5864199424
blk.50.ssm_alpha.weight               BF16        5120x48                       5864199616
blk.50.ssm_beta.weight                BF16        5120x48                       5864691136
blk.50.ssm_conv1d.weight              F32         4x10240                       5865182656
blk.50.ssm_dt.bias                    F32         48                            5865346496
blk.50.ssm_norm.weight                F32         128                           5865346688
blk.50.ssm_out.weight                 PQ2_0       6144x5120                     5865347200
blk.51.attn_k.weight                  PQ2_0       5120x1024                     5873703040
blk.51.attn_k_norm.weight             F32         256                           5875095680
blk.51.attn_norm.weight               F32         5120                          5875096704
blk.51.attn_output.weight             PQ2_0       6144x5120                     5875117184
blk.51.attn_q.weight                  PQ2_0       5120x12288                    5883473024
blk.51.attn_q_norm.weight             F32         256                           5900184704
blk.51.attn_v.weight                  PQ2_0       5120x1024                     5900185728
blk.51.ffn_down.weight                PQ2_0       17408x5120                    5901578368
blk.51.ffn_gate.weight                PQ2_0       5120x17408                    5925253248
blk.51.ffn_up.weight                  PQ2_0       5120x17408                    5948928128
blk.51.post_attention_norm.weight     F32         5120                          5972603008
blk.52.attn_gate.weight               PQ2_0       5120x6144                     5972623488
blk.52.attn_norm.weight               F32         5120                          5980979328
blk.52.attn_qkv.weight                PQ2_0       5120x10240                    5980999808
blk.52.ffn_down.weight                PQ2_0       17408x5120                    5994926208
blk.52.ffn_gate.weight                PQ2_0       5120x17408                    6018601088
blk.52.ffn_up.weight                  PQ2_0       5120x17408                    6042275968
blk.52.post_attention_norm.weight     F32         5120                          6065950848
blk.52.ssm_a                          F32         48                            6065971328
blk.52.ssm_alpha.weight               BF16        5120x48                       6065971520
blk.52.ssm_beta.weight                BF16        5120x48                       6066463040
blk.52.ssm_conv1d.weight              F32         4x10240                       6066954560
blk.52.ssm_dt.bias                    F32         48                            6067118400
blk.52.ssm_norm.weight                F32         128                           6067118592
blk.52.ssm_out.weight                 PQ2_0       6144x5120                     6067119104
blk.53.attn_gate.weight               PQ2_0       5120x6144                     6075474944
blk.53.attn_norm.weight               F32         5120                          6083830784
blk.53.attn_qkv.weight                PQ2_0       5120x10240                    6083851264
blk.53.ffn_down.weight                PQ2_0       17408x5120                    6097777664
blk.53.ffn_gate.weight                PQ2_0       5120x17408                    6121452544
blk.53.ffn_up.weight                  PQ2_0       5120x17408                    6145127424
blk.53.post_attention_norm.weight     F32         5120                          6168802304
blk.53.ssm_a                          F32         48                            6168822784
blk.53.ssm_alpha.weight               BF16        5120x48                       6168822976
blk.53.ssm_beta.weight                BF16        5120x48                       6169314496
blk.53.ssm_conv1d.weight              F32         4x10240                       6169806016
blk.53.ssm_dt.bias                    F32         48                            6169969856
blk.53.ssm_norm.weight                F32         128                           6169970048
blk.53.ssm_out.weight                 PQ2_0       6144x5120                     6169970560
blk.54.attn_gate.weight               PQ2_0       5120x6144                     6178326400
blk.54.attn_norm.weight               F32         5120                          6186682240
blk.54.attn_qkv.weight                PQ2_0       5120x10240                    6186702720
blk.54.ffn_down.weight                PQ2_0       17408x5120                    6200629120
blk.54.ffn_gate.weight                PQ2_0       5120x17408                    6224304000
blk.54.ffn_up.weight                  PQ2_0       5120x17408                    6247978880
blk.54.post_attention_norm.weight     F32         5120                          6271653760
blk.54.ssm_a                          F32         48                            6271674240
blk.54.ssm_alpha.weight               BF16        5120x48                       6271674432
blk.54.ssm_beta.weight                BF16        5120x48                       6272165952
blk.54.ssm_conv1d.weight              F32         4x10240                       6272657472
blk.54.ssm_dt.bias                    F32         48                            6272821312
blk.54.ssm_norm.weight                F32         128                           6272821504
blk.54.ssm_out.weight                 PQ2_0       6144x5120                     6272822016
blk.55.attn_k.weight                  PQ2_0       5120x1024                     6281177856
blk.55.attn_k_norm.weight             F32         256                           6282570496
blk.55.attn_norm.weight               F32         5120                          6282571520
blk.55.attn_output.weight             PQ2_0       6144x5120                     6282592000
blk.55.attn_q.weight                  PQ2_0       5120x12288                    6290947840
blk.55.attn_q_norm.weight             F32         256                           6307659520
blk.55.attn_v.weight                  PQ2_0       5120x1024                     6307660544
blk.55.ffn_down.weight                PQ2_0       17408x5120                    6309053184
blk.55.ffn_gate.weight                PQ2_0       5120x17408                    6332728064
blk.55.ffn_up.weight                  PQ2_0       5120x17408                    6356402944
blk.55.post_attention_norm.weight     F32         5120                          6380077824
blk.56.attn_gate.weight               PQ2_0       5120x6144                     6380098304
blk.56.attn_norm.weight               F32         5120                          6388454144
blk.56.attn_qkv.weight                PQ2_0       5120x10240                    6388474624
blk.56.ffn_down.weight                PQ2_0       17408x5120                    6402401024
blk.56.ffn_gate.weight                PQ2_0       5120x17408                    6426075904
blk.56.ffn_up.weight                  PQ2_0       5120x17408                    6449750784
blk.56.post_attention_norm.weight     F32         5120                          6473425664
blk.56.ssm_a                          F32         48                            6473446144
blk.56.ssm_alpha.weight               BF16        5120x48                       6473446336
blk.56.ssm_beta.weight                BF16        5120x48                       6473937856
blk.56.ssm_conv1d.weight              F32         4x10240                       6474429376
blk.56.ssm_dt.bias                    F32         48                            6474593216
blk.56.ssm_norm.weight                F32         128                           6474593408
blk.56.ssm_out.weight                 PQ2_0       6144x5120                     6474593920
blk.57.attn_gate.weight               PQ2_0       5120x6144                     6482949760
blk.57.attn_norm.weight               F32         5120                          6491305600
blk.57.attn_qkv.weight                PQ2_0       5120x10240                    6491326080
blk.57.ffn_down.weight                PQ2_0       17408x5120                    6505252480
blk.57.ffn_gate.weight                PQ2_0       5120x17408                    6528927360
blk.57.ffn_up.weight                  PQ2_0       5120x17408                    6552602240
blk.57.post_attention_norm.weight     F32         5120                          6576277120
blk.57.ssm_a                          F32         48                            6576297600
blk.57.ssm_alpha.weight               BF16        5120x48                       6576297792
blk.57.ssm_beta.weight                BF16        5120x48                       6576789312
blk.57.ssm_conv1d.weight              F32         4x10240                       6577280832
blk.57.ssm_dt.bias                    F32         48                            6577444672
blk.57.ssm_norm.weight                F32         128                           6577444864
blk.57.ssm_out.weight                 PQ2_0       6144x5120                     6577445376
blk.58.attn_gate.weight               PQ2_0       5120x6144                     6585801216
blk.58.attn_norm.weight               F32         5120                          6594157056
blk.58.attn_qkv.weight                PQ2_0       5120x10240                    6594177536
blk.58.ffn_down.weight                PQ2_0       17408x5120                    6608103936
blk.58.ffn_gate.weight                PQ2_0       5120x17408                    6631778816
blk.58.ffn_up.weight                  PQ2_0       5120x17408                    6655453696
blk.58.post_attention_norm.weight     F32         5120                          6679128576
blk.58.ssm_a                          F32         48                            6679149056
blk.58.ssm_alpha.weight               BF16        5120x48                       6679149248
blk.58.ssm_beta.weight                BF16        5120x48                       6679640768
blk.58.ssm_conv1d.weight              F32         4x10240                       6680132288
blk.58.ssm_dt.bias                    F32         48                            6680296128
blk.58.ssm_norm.weight                F32         128                           6680296320
blk.58.ssm_out.weight                 PQ2_0       6144x5120                     6680296832
blk.59.attn_k.weight                  PQ2_0       5120x1024                     6688652672
blk.59.attn_k_norm.weight             F32         256                           6690045312
blk.59.attn_norm.weight               F32         5120                          6690046336
blk.59.attn_output.weight             PQ2_0       6144x5120                     6690066816
blk.59.attn_q.weight                  PQ2_0       5120x12288                    6698422656
blk.59.attn_q_norm.weight             F32         256                           6715134336
blk.59.attn_v.weight                  PQ2_0       5120x1024                     6715135360
blk.59.ffn_down.weight                PQ2_0       17408x5120                    6716528000
blk.59.ffn_gate.weight                PQ2_0       5120x17408                    6740202880
blk.59.ffn_up.weight                  PQ2_0       5120x17408                    6763877760
blk.59.post_attention_norm.weight     F32         5120                          6787552640
blk.60.attn_gate.weight               PQ2_0       5120x6144                     6787573120
blk.60.attn_norm.weight               F32         5120                          6795928960
blk.60.attn_qkv.weight                PQ2_0       5120x10240                    6795949440
blk.60.ffn_down.weight                PQ2_0       17408x5120                    6809875840
blk.60.ffn_gate.weight                PQ2_0       5120x17408                    6833550720
blk.60.ffn_up.weight                  PQ2_0       5120x17408                    6857225600
blk.60.post_attention_norm.weight     F32         5120                          6880900480
blk.60.ssm_a                          F32         48                            6880920960
blk.60.ssm_alpha.weight               BF16        5120x48                       6880921152
blk.60.ssm_beta.weight                BF16        5120x48                       6881412672
blk.60.ssm_conv1d.weight              F32         4x10240                       6881904192
blk.60.ssm_dt.bias                    F32         48                            6882068032
blk.60.ssm_norm.weight                F32         128                           6882068224
blk.60.ssm_out.weight                 PQ2_0       6144x5120                     6882068736
blk.61.attn_gate.weight               PQ2_0       5120x6144                     6890424576
blk.61.attn_norm.weight               F32         5120                          6898780416
blk.61.attn_qkv.weight                PQ2_0       5120x10240                    6898800896
blk.61.ffn_down.weight                PQ2_0       17408x5120                    6912727296
blk.61.ffn_gate.weight                PQ2_0       5120x17408                    6936402176
blk.61.ffn_up.weight                  PQ2_0       5120x17408                    6960077056
blk.61.post_attention_norm.weight     F32         5120                          6983751936
blk.61.ssm_a                          F32         48                            6983772416
blk.61.ssm_alpha.weight               BF16        5120x48                       6983772608
blk.61.ssm_beta.weight                BF16        5120x48                       6984264128
blk.61.ssm_conv1d.weight              F32         4x10240                       6984755648
blk.61.ssm_dt.bias                    F32         48                            6984919488
blk.61.ssm_norm.weight                F32         128                           6984919680
blk.61.ssm_out.weight                 PQ2_0       6144x5120                     6984920192
blk.62.attn_gate.weight               PQ2_0       5120x6144                     6993276032
blk.62.attn_norm.weight               F32         5120                          7001631872
blk.62.attn_qkv.weight                PQ2_0       5120x10240                    7001652352
blk.62.ffn_down.weight                PQ2_0       17408x5120                    7015578752
blk.62.ffn_gate.weight                PQ2_0       5120x17408                    7039253632
blk.62.ffn_up.weight                  PQ2_0       5120x17408                    7062928512
blk.62.post_attention_norm.weight     F32         5120                          7086603392
blk.62.ssm_a                          F32         48                            7086623872
blk.62.ssm_alpha.weight               BF16        5120x48                       7086624064
blk.62.ssm_beta.weight                BF16        5120x48                       7087115584
blk.62.ssm_conv1d.weight              F32         4x10240                       7087607104
blk.62.ssm_dt.bias                    F32         48                            7087770944
blk.62.ssm_norm.weight                F32         128                           7087771136
blk.62.ssm_out.weight                 PQ2_0       6144x5120                     7087771648
blk.63.attn_k.weight                  PQ2_0       5120x1024                     7096127488
blk.63.attn_k_norm.weight             F32         256                           7097520128
blk.63.attn_norm.weight               F32         5120                          7097521152
blk.63.attn_output.weight             PQ2_0       6144x5120                     7097541632
blk.63.attn_q.weight                  PQ2_0       5120x12288                    7105897472
blk.63.attn_q_norm.weight             F32         256                           7122609152
blk.63.attn_v.weight                  PQ2_0       5120x1024                     7122610176
blk.63.ffn_down.weight                PQ2_0       17408x5120                    7124002816
blk.63.ffn_gate.weight                PQ2_0       5120x17408                    7147677696
blk.63.ffn_up.weight                  PQ2_0       5120x17408                    7171352576
blk.63.post_attention_norm.weight     F32         5120                          7195027456
blk.64.nextn.eh_proj.weight           Q8_0        10240x5120                    7195047936
blk.64.attn_norm.weight               F32         5120                          7250753536
blk.64.ffn_down.weight                Q8_0        17408x5120                    7250774016
blk.64.ffn_gate.weight                Q8_0        5120x17408                    7345473536
blk.64.ffn_up.weight                  Q8_0        5120x17408                    7440173056
blk.64.post_attention_norm.weight     F32         5120                          7534872576
blk.64.attn_k_norm.weight             F32         256                           7534893056
blk.64.attn_k.weight                  Q8_0        5120x1024                     7534894080
blk.64.attn_output.weight             Q8_0        6144x5120                     7540464640
blk.64.attn_q_norm.weight             F32         256                           7573888000
blk.64.attn_q.weight                  Q8_0        5120x12288                    7573889024
blk.64.attn_v.weight                  Q8_0        5120x1024                     7640735744
blk.64.nextn.shared_head_norm.weight  F32         5120                          7646306304
blk.64.nextn.enorm.weight             F32         5120                          7646326784
blk.64.nextn.hnorm.weight             F32         5120                          7646347264
