name,type,type_id,n_dims,dims,offset,bytes
v.blk.2.attn_out.bias,F32,0,1,1152,250600704,4608
v.blk.2.attn_out.weight,Q8_0,8,2,1152x1152,250605312,1410048
v.blk.2.attn_qkv.bias,F32,0,1,3456,252015360,13824
v.blk.2.attn_qkv.weight,Q8_0,8,2,1152x3456,252029184,4230144
v.blk.2.ffn_up.bias,F32,0,1,4304,256259328,17216
v.blk.2.ffn_up.weight,Q8_0,8,2,1152x4304,256276544,5268096
v.blk.2.ffn_down.bias,F32,0,1,1152,261544640,4608
v.blk.2.ffn_down.weight,F16,1,2,4304x1152,261549248,9916416
v.blk.2.ln1.bias,F32,0,1,1152,271465664,4608
v.blk.2.ln1.weight,F32,0,1,1152,271470272,4608
v.blk.2.ln2.bias,F32,0,1,1152,271474880,4608
v.blk.2.ln2.weight,F32,0,1,1152,271479488,4608
v.blk.20.attn_out.bias,F32,0,1,1152,271484096,4608
v.blk.20.attn_out.weight,Q8_0,8,2,1152x1152,271488704,1410048
v.blk.20.attn_qkv.bias,F32,0,1,3456,272898752,13824
v.blk.20.attn_qkv.weight,Q8_0,8,2,1152x3456,272912576,4230144
v.blk.20.ffn_up.bias,F32,0,1,4304,277142720,17216
v.blk.20.ffn_up.weight,Q8_0,8,2,1152x4304,277159936,5268096
v.blk.20.ffn_down.bias,F32,0,1,1152,282428032,4608
v.blk.20.ffn_down.weight,F16,1,2,4304x1152,282432640,9916416
v.blk.20.ln1.bias,F32,0,1,1152,292349056,4608
v.blk.20.ln1.weight,F32,0,1,1152,292353664,4608
v.blk.20.ln2.bias,F32,0,1,1152,292358272,4608
v.blk.20.ln2.weight,F32,0,1,1152,292362880,4608
v.blk.21.attn_out.bias,F32,0,1,1152,292367488,4608
v.blk.21.attn_out.weight,Q8_0,8,2,1152x1152,292372096,1410048
v.blk.21.attn_qkv.bias,F32,0,1,3456,293782144,13824
v.blk.21.attn_qkv.weight,Q8_0,8,2,1152x3456,293795968,4230144
v.blk.21.ffn_up.bias,F32,0,1,4304,298026112,17216
v.blk.21.ffn_up.weight,Q8_0,8,2,1152x4304,298043328,5268096
v.blk.21.ffn_down.bias,F32,0,1,1152,303311424,4608
v.blk.21.ffn_down.weight,F16,1,2,4304x1152,303316032,9916416
v.blk.21.ln1.bias,F32,0,1,1152,313232448,4608
v.blk.21.ln1.weight,F32,0,1,1152,313237056,4608
v.blk.21.ln2.bias,F32,0,1,1152,313241664,4608
v.blk.21.ln2.weight,F32,0,1,1152,313246272,4608
v.blk.22.attn_out.bias,F32,0,1,1152,313250880,4608
v.blk.22.attn_out.weight,Q8_0,8,2,1152x1152,313255488,1410048
v.blk.22.attn_qkv.bias,F32,0,1,3456,314665536,13824
v.blk.22.attn_qkv.weight,Q8_0,8,2,1152x3456,314679360,4230144
v.blk.22.ffn_up.bias,F32,0,1,4304,318909504,17216
v.blk.22.ffn_up.weight,Q8_0,8,2,1152x4304,318926720,5268096
v.blk.22.ffn_down.bias,F32,0,1,1152,324194816,4608
v.blk.22.ffn_down.weight,F16,1,2,4304x1152,324199424,9916416
v.blk.22.ln1.bias,F32,0,1,1152,334115840,4608
v.blk.22.ln1.weight,F32,0,1,1152,334120448,4608
v.blk.22.ln2.bias,F32,0,1,1152,334125056,4608
v.blk.22.ln2.weight,F32,0,1,1152,334129664,4608
v.blk.23.attn_out.bias,F32,0,1,1152,334134272,4608
v.blk.23.attn_out.weight,Q8_0,8,2,1152x1152,334138880,1410048
v.blk.23.attn_qkv.bias,F32,0,1,3456,335548928,13824
v.blk.23.attn_qkv.weight,Q8_0,8,2,1152x3456,335562752,4230144
v.blk.23.ffn_up.bias,F32,0,1,4304,339792896,17216
v.blk.23.ffn_up.weight,Q8_0,8,2,1152x4304,339810112,5268096
v.blk.23.ffn_down.bias,F32,0,1,1152,345078208,4608
v.blk.23.ffn_down.weight,F16,1,2,4304x1152,345082816,9916416
v.blk.23.ln1.bias,F32,0,1,1152,354999232,4608
v.blk.23.ln1.weight,F32,0,1,1152,355003840,4608
v.blk.23.ln2.bias,F32,0,1,1152,355008448,4608
v.blk.23.ln2.weight,F32,0,1,1152,355013056,4608
v.blk.24.attn_out.bias,F32,0,1,1152,355017664,4608
v.blk.24.attn_out.weight,Q8_0,8,2,1152x1152,355022272,1410048
v.blk.24.attn_qkv.bias,F32,0,1,3456,356432320,13824
v.blk.24.attn_qkv.weight,Q8_0,8,2,1152x3456,356446144,4230144
v.blk.24.ffn_up.bias,F32,0,1,4304,360676288,17216
v.blk.24.ffn_up.weight,Q8_0,8,2,1152x4304,360693504,5268096
v.blk.24.ffn_down.bias,F32,0,1,1152,365961600,4608
v.blk.24.ffn_down.weight,F16,1,2,4304x1152,365966208,9916416
v.blk.24.ln1.bias,F32,0,1,1152,375882624,4608
v.blk.24.ln1.weight,F32,0,1,1152,375887232,4608
v.blk.24.ln2.bias,F32,0,1,1152,375891840,4608
v.blk.24.ln2.weight,F32,0,1,1152,375896448,4608
v.blk.25.attn_out.bias,F32,0,1,1152,375901056,4608
v.blk.25.attn_out.weight,Q8_0,8,2,1152x1152,375905664,1410048
v.blk.25.attn_qkv.bias,F32,0,1,3456,377315712,13824
v.blk.25.attn_qkv.weight,Q8_0,8,2,1152x3456,377329536,4230144
v.blk.25.ffn_up.bias,F32,0,1,4304,381559680,17216
v.blk.25.ffn_up.weight,Q8_0,8,2,1152x4304,381576896,5268096
v.blk.25.ffn_down.bias,F32,0,1,1152,386844992,4608
v.blk.25.ffn_down.weight,F16,1,2,4304x1152,386849600,9916416
v.blk.25.ln1.bias,F32,0,1,1152,396766016,4608
v.blk.25.ln1.weight,F32,0,1,1152,396770624,4608
v.blk.25.ln2.bias,F32,0,1,1152,396775232,4608
v.blk.25.ln2.weight,F32,0,1,1152,396779840,4608
v.blk.26.attn_out.bias,F32,0,1,1152,396784448,4608
v.blk.26.attn_out.weight,Q8_0,8,2,1152x1152,396789056,1410048
v.blk.26.attn_qkv.bias,F32,0,1,3456,398199104,13824
v.blk.26.attn_qkv.weight,Q8_0,8,2,1152x3456,398212928,4230144
v.blk.26.ffn_up.bias,F32,0,1,4304,402443072,17216
v.blk.26.ffn_up.weight,Q8_0,8,2,1152x4304,402460288,5268096
v.blk.26.ffn_down.bias,F32,0,1,1152,407728384,4608
v.blk.26.ffn_down.weight,F16,1,2,4304x1152,407732992,9916416
v.blk.26.ln1.bias,F32,0,1,1152,417649408,4608
v.blk.26.ln1.weight,F32,0,1,1152,417654016,4608
v.blk.26.ln2.bias,F32,0,1,1152,417658624,4608
v.blk.26.ln2.weight,F32,0,1,1152,417663232,4608
v.blk.3.attn_out.bias,F32,0,1,1152,417667840,4608
v.blk.3.attn_out.weight,Q8_0,8,2,1152x1152,417672448,1410048
v.blk.3.attn_qkv.bias,F32,0,1,3456,419082496,13824
v.blk.3.attn_qkv.weight,Q8_0,8,2,1152x3456,419096320,4230144
v.blk.3.ffn_up.bias,F32,0,1,4304,423326464,17216
v.blk.3.ffn_up.weight,Q8_0,8,2,1152x4304,423343680,5268096
v.blk.3.ffn_down.bias,F32,0,1,1152,428611776,4608
v.blk.3.ffn_down.weight,F16,1,2,4304x1152,428616384,9916416
v.blk.3.ln1.bias,F32,0,1,1152,438532800,4608
v.blk.3.ln1.weight,F32,0,1,1152,438537408,4608
v.blk.3.ln2.bias,F32,0,1,1152,438542016,4608
v.blk.3.ln2.weight,F32,0,1,1152,438546624,4608
v.blk.4.attn_out.bias,F32,0,1,1152,438551232,4608
v.blk.4.attn_out.weight,Q8_0,8,2,1152x1152,438555840,1410048
v.blk.4.attn_qkv.bias,F32,0,1,3456,439965888,13824
v.blk.4.attn_qkv.weight,Q8_0,8,2,1152x3456,439979712,4230144
v.blk.4.ffn_up.bias,F32,0,1,4304,444209856,17216
v.blk.4.ffn_up.weight,Q8_0,8,2,1152x4304,444227072,5268096
v.blk.4.ffn_down.bias,F32,0,1,1152,449495168,4608
v.blk.4.ffn_down.weight,F16,1,2,4304x1152,449499776,9916416
v.blk.4.ln1.bias,F32,0,1,1152,459416192,4608
v.blk.4.ln1.weight,F32,0,1,1152,459420800,4608
v.blk.4.ln2.bias,F32,0,1,1152,459425408,4608
v.blk.4.ln2.weight,F32,0,1,1152,459430016,4608
v.blk.5.attn_out.bias,F32,0,1,1152,459434624,4608
v.blk.5.attn_out.weight,Q8_0,8,2,1152x1152,459439232,1410048
v.blk.5.attn_qkv.bias,F32,0,1,3456,460849280,13824
v.blk.5.attn_qkv.weight,Q8_0,8,2,1152x3456,460863104,4230144
v.blk.5.ffn_up.bias,F32,0,1,4304,465093248,17216
v.blk.5.ffn_up.weight,Q8_0,8,2,1152x4304,465110464,5268096
v.blk.5.ffn_down.bias,F32,0,1,1152,470378560,4608
v.blk.5.ffn_down.weight,F16,1,2,4304x1152,470383168,9916416
v.blk.5.ln1.bias,F32,0,1,1152,480299584,4608
v.blk.5.ln1.weight,F32,0,1,1152,480304192,4608
v.blk.5.ln2.bias,F32,0,1,1152,480308800,4608
v.blk.5.ln2.weight,F32,0,1,1152,480313408,4608
v.blk.6.attn_out.bias,F32,0,1,1152,480318016,4608
v.blk.6.attn_out.weight,Q8_0,8,2,1152x1152,480322624,1410048
v.blk.6.attn_qkv.bias,F32,0,1,3456,481732672,13824
v.blk.6.attn_qkv.weight,Q8_0,8,2,1152x3456,481746496,4230144
v.blk.6.ffn_up.bias,F32,0,1,4304,485976640,17216
v.blk.6.ffn_up.weight,Q8_0,8,2,1152x4304,485993856,5268096
v.blk.6.ffn_down.bias,F32,0,1,1152,491261952,4608
v.blk.6.ffn_down.weight,F16,1,2,4304x1152,491266560,9916416
v.blk.6.ln1.bias,F32,0,1,1152,501182976,4608
v.blk.6.ln1.weight,F32,0,1,1152,501187584,4608
v.blk.6.ln2.bias,F32,0,1,1152,501192192,4608
v.blk.6.ln2.weight,F32,0,1,1152,501196800,4608
v.blk.7.attn_out.bias,F32,0,1,1152,501201408,4608
v.blk.7.attn_out.weight,Q8_0,8,2,1152x1152,501206016,1410048
v.blk.7.attn_qkv.bias,F32,0,1,3456,502616064,13824
v.blk.7.attn_qkv.weight,Q8_0,8,2,1152x3456,502629888,4230144
v.blk.7.ffn_up.bias,F32,0,1,4304,506860032,17216
v.blk.7.ffn_up.weight,Q8_0,8,2,1152x4304,506877248,5268096
v.blk.7.ffn_down.bias,F32,0,1,1152,512145344,4608
v.blk.7.ffn_down.weight,F16,1,2,4304x1152,512149952,9916416
v.blk.7.ln1.bias,F32,0,1,1152,522066368,4608
v.blk.7.ln1.weight,F32,0,1,1152,522070976,4608
v.blk.7.ln2.bias,F32,0,1,1152,522075584,4608
v.blk.7.ln2.weight,F32,0,1,1152,522080192,4608
v.blk.8.attn_out.bias,F32,0,1,1152,522084800,4608
v.blk.8.attn_out.weight,Q8_0,8,2,1152x1152,522089408,1410048
v.blk.8.attn_qkv.bias,F32,0,1,3456,523499456,13824
v.blk.8.attn_qkv.weight,Q8_0,8,2,1152x3456,523513280,4230144
v.blk.8.ffn_up.bias,F32,0,1,4304,527743424,17216
v.blk.8.ffn_up.weight,Q8_0,8,2,1152x4304,527760640,5268096
v.blk.8.ffn_down.bias,F32,0,1,1152,533028736,4608
v.blk.8.ffn_down.weight,F16,1,2,4304x1152,533033344,9916416
v.blk.8.ln1.bias,F32,0,1,1152,542949760,4608
v.blk.8.ln1.weight,F32,0,1,1152,542954368,4608
v.blk.8.ln2.bias,F32,0,1,1152,542958976,4608
v.blk.8.ln2.weight,F32,0,1,1152,542963584,4608
v.blk.9.attn_out.bias,F32,0,1,1152,542968192,4608
v.blk.9.attn_out.weight,Q8_0,8,2,1152x1152,542972800,1410048
v.blk.9.attn_qkv.bias,F32,0,1,3456,544382848,13824
v.blk.9.attn_qkv.weight,Q8_0,8,2,1152x3456,544396672,4230144
v.blk.9.ffn_up.bias,F32,0,1,4304,548626816,17216
v.blk.9.ffn_up.weight,Q8_0,8,2,1152x4304,548644032,5268096
v.blk.9.ffn_down.bias,F32,0,1,1152,553912128,4608
v.blk.9.ffn_down.weight,F16,1,2,4304x1152,553916736,9916416
v.blk.9.ln1.bias,F32,0,1,1152,563833152,4608
v.blk.9.ln1.weight,F32,0,1,1152,563837760,4608
v.blk.9.ln2.bias,F32,0,1,1152,563842368,4608
v.blk.9.ln2.weight,F32,0,1,1152,563846976,4608
mm.0.bias,F32,0,1,4608,563851584,18432
mm.0.weight,Q8_0,8,2,4608x4608,563870016,22560768
mm.2.bias,F32,0,1,5120,586430784,20480
mm.2.weight,Q8_0,8,2,4608x5120,586451264,25067520
v.post_ln.bias,F32,0,1,1152,611518784,4608
v.post_ln.weight,F32,0,1,1152,611523392,4608
v.patch_embd.bias,F32,0,1,1152,611528000,4608
v.patch_embd.weight,F32,0,4,16x16x3x1152,611532608,3538944
v.patch_embd.weight.1,F32,0,4,16x16x3x1152,615071552,3538944
v.position_embd.weight,F32,0,2,1152x2304,618610496,10616832
